"dominio_geo","Urbano","Rural","brecha_pp"
"Sierra Norte",45.7005087535553,18.7505478865209,26.9499608670344
"Selva",42.9392501402249,21.120098145875,21.8191519943499
"Sierra Sur",38.9327830952144,21.6453976126826,17.2873854825318
"Sierra Centro",40.5079942194332,25.3717953835597,15.1361988358734
"Costa Centro",51.4050139368059,39.5170416096145,11.8879723271914
"Costa Sur",48.2828886341549,36.9500989375662,11.3327896965887
"Costa Norte",43.8553546188115,34.35923696985,9.4961176489615
"Lima Metropolitana",56.5664422409761,NA,NA
