"macrorregion","Urbano","Rural","brecha_pp"
"Lima-Callao",55.535485060014,29.3640799738488,26.1714050861652
"Oriente",44.940083529489,21.3351882495161,23.6048952799729
"Norte",45.1320508840099,24.1111367678956,21.0209141161142
"Centro",42.3476100090762,22.9571932101329,19.3904167989433
"Sur",41.1427723438096,23.3225306243185,17.820241719491
